İlçe,Sandık sayısı,Kayıtlı seçmen sayısı,Katılım Oranı,Geçerli oy,MUHARREM İNCE,MERAL AKŞENER,RECEP TAYYİP ERDOĞAN,SELAHATTİN DEMİRTAŞ,TEMEL KARAMOLLAOĞLU,DOĞU PERİNÇEK
Adalar,36,11967,"88,0","98,4","60,1","3,9","27,1","8,2","0,3","0,3"
Bakırköy,463,168450,"87,8","98,9","66,6","5,7","23,9","2,9","0,6","0,3"
Beşiktaş,394,140754,"87,7","99,1","74,1","4,3","18,4","2,3","0,5","0,4"
Beykoz,513,184234,"89,6","98,1","34,5","5,7","55,9","2,5","1,3","0,2"
Beyoğlu,475,170779,"85,3","98,3","32,2","3,9","52,2","10,4","1,1","0,2"
Çatalca,160,53501,"91,4","97,8","44,2","10,2","42,9","2,1","0,5","0,2"
Eyüpsultan,752,273863,"88,7","98,3","39,3","4,7","50,8","4,0","1,1","0,2"
Fatih,794,283991,"84,6","98,2","33,0","4,7","53,8","6,9","1,4","0,2"
Gaziosmanpaşa,936,349260,"87,3","98,4","27,7","4,7","59,1","7,4","1,0","0,2"
Kadıköy,995,363413,"89,0","99,1","72,1","4,3","20,3","2,5","0,5","0,4"
Kartal,938,344826,"89,4","98,5","44,0","5,1","45,1","4,6","0,9","0,2"
Sarıyer,690,248940,"88,3","98,5","48,5","4,7","43,1","2,8","0,8","0,2"
Silivri,386,120995,"95,7","98,2","45,1","7,2","40,6","6,2","0,7","0,2"
Şile,103,26912,"91,3","97,6","33,5","8,9","53,0","3,5","0,9","0,3"
Şişli,562,204319,"85,6","98,7","59,9","3,8","30,0","5,5","0,5","0,3"
Üsküdar,1095,400677,"88,7","98,5","40,9","5,8","48,8","3,0","1,2","0,3"
Zeytinburnu,520,191796,"86,1","98,4","29,1","5,5","52,7","11,6","0,9","0,1"
Büyükçekmece,471,172351,"87,8","98,6","43,8","5,6","45,5","4,4","0,5","0,2"
Kağıthane,866,319199,"87,3","98,4","32,3","4,7","55,9","5,7","1,2","0,2"
Küçükçekmece,1468,541033,"87,7","98,4","38,1","5,5","46,1","9,3","0,8","0,2"
Pendik,1332,491711,"88,5","98,3","30,3","5,2","58,4","4,7","1,2","0,2"
Ümraniye,1331,491261,"89,1","98,4","32,0","5,5","56,3","5,1","1,1","0,2"
Bayrampaşa,542,199348,"88,3","98,6","34,4","6,0","55,7","2,7","1,0","0,2"
Avcılar,811,302286,"87,0","98,4","45,0","4,6","42,6","6,9","0,6","0,2"
Bağcılar,1359,506091,"87,6","98,2","21,4","4,0","61,3","12,0","1,1","0,1"
Bahçelievler,1158,427357,"87,2","98,5","33,7","4,9","52,0","8,3","1,0","0,2"
Güngören,571,211075,"87,0","98,4","30,3","5,0","55,6","7,9","1,1","0,2"
Maltepe,1003,367516,"89,0","98,6","50,5","4,7","40,3","3,5","0,7","0,2"
Sultanbeyli,575,213941,"89,1","97,8","11,6","2,8","68,7","15,4","1,3","0,1"
Tuzla,477,174845,"89,2","98,4","36,1","5,6","51,7","5,4","1,0","0,2"
Esenler,841,310787,"88,4","98,3","18,9","4,0","66,9","9,0","1,1","0,1"
Arnavutköy,471,168986,"88,1","97,7","15,3","4,1","66,0","13,4","1,0","0,1"
Ataşehir,825,306446,"89,2","98,5","45,7","4,5","44,1","4,6","0,8","0,2"
Başakşehir,690,253892,"89,0","98,5","28,8","4,8","54,7","10,0","1,6","0,1"
Beylikdüzü,595,220711,"88,5","99,0","45,7","5,6","42,8","4,9","0,8","0,2"
Çekmeköy,466,170067,"89,9","98,4","34,7","5,0","53,8","5,5","0,9","0,1"
Esenyurt,1484,549448,"85,7","98,3","31,3","3,6","47,6","16,8","0,6","0,1"
Sancaktepe,733,272270,"89,6","98,1","31,9","3,2","51,5","12,5","0,8","0,1"
Sultangazi,944,350388,"89,0","98,3","24,1","3,0","61,5","10,3","1,0","0,1"
