İlçe,Okuma yazma bilmeyen,Okuma yazma bilen fakat bir okul bitirmeyen,İlkokul,İlköğretim,Ortaokul veya dengi okul,Lise veya dengi okul,Yüksekokul veya fakülte,Yüksek lisans,Doktora,Bilinmeyen,Toplam
Adalar,229,350,2248,703,1193,3422,2872,465,149,336,11967
Arnavutköy,6771,10346,4822,41551,15084,30219,14559,933,124,1179,168986
Ataşehir,7471,791,54952,34388,26185,80064,77643,12878,2468,2487,306446
Avcılar,6541,10002,60842,46084,29595,85543,55042,4754,666,3217,302286
Bahçelievler,10614,13935,88413,61524,4121,115886,82914,8232,1231,3398,427357
Bakırköy,153,2295,21491,6326,13281,50021,57527,104,2888,2691,16845
Bayrampaşa,4029,5268,51086,28787,21259,52452,32214,2691,300,1262,199348
Bağcılar,15727,24081,125387,109391,52067,114026,57533,3944,553,3382,506091
Başakşehir,5533,8451,45251,35954,22022,68656,56192,7533,1329,2971,253892
Beykoz,4953,4379,4048,23332,18117,51905,34579,4204,981,1304,184234
Beylikdüzü,2648,4061,32077,2065,19122,71431,60423,7068,991,224,220711
Beyoğlu,5931,7354,41789,26269,16637,41208,26063,2676,653,2199,170779
Beşiktaş,1138,1681,13548,439,8243,37153,55651,13279,3757,1914,140754
Büyükçekmece,2927,3882,3274,22481,16127,51827,35653,3591,625,2498,172351
Esenler,10212,13655,86925,68398,31041,66091,30821,182,267,1557,310787
Esenyurt,15649,25059,116688,126382,51127,129934,73717,5648,756,4488,549448
Eyüpsultan,6263,7293,6124,37803,25917,74203,51857,6141,985,2161,273863
Fatih,8453,1192,71328,33043,26789,72379,48755,6321,1248,3755,283991
Gaziosmanpaşa,10084,14434,92816,60606,34459,82921,46745,4091,543,2561,34926
Güngören,5161,7639,48577,29884,21329,5751,35553,3217,725,148,211075
Kadıköy,3051,4594,36256,11172,23632,99039,14166,3124,8108,4661,363413
Kartal,818,8417,63046,38272,31819,101264,81484,8696,1035,2613,344826
Kağıthane,7565,9574,6915,50783,32359,85708,56209,4931,656,2264,319199
Küçükçekmece,13792,19583,116511,89172,51474,136429,98252,10042,1799,3979,541033
Maltepe,7101,8478,61702,33881,31744,105401,99439,1366,2281,3829,367516
Pendik,1177,12621,101345,81542,46497,133559,91579,8543,1095,316,491711
Sancaktepe,8531,9629,61772,5769,25894,62817,3996,4084,558,1335,27227
Sarıyer,5205,5735,45736,26717,20311,68684,59895,10779,3218,266,24894
Silivri,214,3176,32939,20322,11602,29136,18649,1553,208,127,120995
Sultanbeyli,8401,10733,55954,54872,20342,42458,19166,1018,170,827,213941
Sultangazi,12464,17945,100127,78894,34461,70732,31357,1657,242,2509,350388
Tuzla,3245,4091,31488,29153,15772,46937,3783,4476,839,1014,174845
Zeytinburnu,5418,9791,47572,31019,19237,46592,26527,2724,593,2323,191796
Çatalca,956,1272,18085,8598,4943,12069,6767,437,69,305,53501
Çekmeköy,3799,4157,33129,25744,1525,44919,36571,4697,736,1065,170067
Ümraniye,11562,12185,982,65971,45827,132571,106094,13463,181,3578,491261
Üsküdar,7694,8716,68442,32832,34096,114705,109659,17114,4051,3368,400677
Şile,720,884,9014,2828,2511,6347,395,362,60,236,26912
Şişli,4302,5568,3386,18597,16913,54625,55654,9359,232,3121,204319
